  No.	Character   	Type     	Level     	Required for  	Keyword                   	A.K.A.                                            	Requires
 1717	坎          	character	          	              	hump                      	                                                	'soil', 'yawn'
 1718	炊          	character	          	              	cook                      	                                                	'fire', 'yawn'
 1719	钦          	character	          	              	think highly of           	                                                	'metal', 'yawn'
 1720	剖          	character	          	              	cut open                  	                                                	'muzzle', 'saber'
 1721	菩          	character	          	              	bodhisattva               	                                                	'flower', 'muzzle'
 1722	黯          	character	          	              	tenebrous                 	                                                	'black', 'sound'
 1723	赢          	character	          	              	win                       	                                                	'perish', 'mouth', 'flesh', 'oyster', 'ordinary'
 1724	芒          	character	          	              	mango                     	                                                	'flower', 'perish'
 1725	荒          	character	          	              	wasteland                 	                                                	'mango', 'flood'
 1726	谎          	character	          	              	lie                       	                                                	'words', 'wasteland'
 1727	茫          	character	          	              	boundless                 	                                                	'mango', 'water'
 1728	坊          	character	          	              	workshop                  	                                                	'soil', 'compass'
 1729	芳          	character	          	              	aromatic                  	                                                	'compass', 'flower'
 1730	访          	character	Advanced  	              	call on                   	                                                	'words', 'compass'
 1731	淤          	character	          	              	silt                      	                                                	'water', 'compass', 'umbrella', 'ice'
 1732	熬          	character	          	              	stew                      	                                                	'soil', 'release', 'cooking fire'
     	囧旁        	primitive	          	              	Magellan                  	                                                	'side'
 1733	膀          	character	          	              	upper arm                 	                                                	'flesh', 'Magellan'
 1734	磅          	character	          	              	pound                     	                                                	'Magellan', 'stone'
 1735	榜          	character	          	              	roster                    	                                                	'tree', 'Magellan'
 1736	锐          	character	          	              	sharp                     	                                                	'metal', 'devil'
 1737	虹          	character	          	              	rainbow                   	                                                	'insect', 'I-beam'
 1738	蝠          	character	          	              	bat                       	                                                	'insect', 'wealth'
 1739	浊          	character	          	              	turbid                    	                                                	'water', 'insect'
 1740	蝗          	character	          	              	locust                    	                                                	'insect', 'emperor'
 1741	蛙          	character	          	              	frog                      	                                                	'insect', 'bricks'
 1742	烛          	character	          	              	candle                    	                                                	'fire', 'insect'
 1743	茧          	character	          	Elementary (2)	cocoon                    	                                                	'flower', 'insect'
 1744	蚕          	character	          	              	silkworm                  	                                                	'heavens', 'insect'
 1745	胞          	character	          	              	placenta                  	                                                	'part of the body', 'wrap'
 1746	炮          	character	          	              	cannon                    	                                                	'fire', 'wrap'
 1747	袍          	character	          	              	robe                      	                                                	'cloak', 'wrap'
 1748	雹          	character	          	              	hail                      	                                                	'rain', 'wrap'
 1749	豪          	character	          	              	unrestrained              	                                                	'tiara', 'sow'
     	豖          	primitive	          	              	hog-tied                  	                                                	'sow'
 1750	啄          	character	          	              	peck                      	                                                	'mouth', 'hog-tied'
 1751	琢          	character	          	              	chisel                    	                                                	'ball', 'hog-tied'
 1752	遂          	character	          	              	satisfy                   	                                                	'horns', 'sow', 'road'
     	囧家        	primitive	          	              	flophouse                 	                                                	'house'
 1753	嫁          	character	          	              	marry                     	                                                	'woman', 'flophouse'
 1754	肠          	character	          	              	intestines                	                                                	'part of the body', 'piglets'
 1755	杨          	character	          	              	poplar                    	                                                	'tree', 'piglets'
 1756	烫          	character	          	              	scald                     	                                                	'soup', 'fire'
 1757	荡          	character	          	              	licentious                	                                                	'flower', 'soup'
 1758	姜          	character	          	              	ginger                    	                                                	'sheep', 'woman'
 1759	详          	character	          	              	detailed                  	                                                	'words', 'sheep'
 1760	羡          	character	          	              	envy                      	                                                	'sheep', 'next'
 1761	栏          	character	          	              	railing                   	                                                	'tree', 'orchid'
 1762	拦          	character	          	              	impede                    	                                                	'fingers', 'orchid'
 1763	唯          	character	          	              	solely                    	                                                	'mouth', 'turkey'
 1764	雀          	character	          	              	sparrow                   	                                                	'few', 'turkey'
 1765	堆          	character	Advanced  	              	pile                      	                                                	'soil', 'turkey'
 1766	雕          	character	          	              	sculpture                 	                                                	'lap', 'turkey'
 1767	截          	character	          	              	lop off                   	                                                	'Thanksgiving', 'turkey'
 1768	霍          	character	          	              	all at once               	                                                	'rain', 'turkey'
 1769	雌          	character	          	              	feminine                  	                                                	'this (literary)', 'turkey'
 1770	焦          	character	          	              	apprehensive              	'roast turkey'                                  	'turkey', 'cooking fire'
 1771	瞧          	character	Advanced  	              	lay eyes on               	                                                	'eyeball', 'roast turkey'
 1772	礁          	character	          	              	reef                      	                                                	'stone', 'roast turkey'
 1773	蕉          	character	          	              	banana                    	                                                	'flower', 'roast turkey'
 1774	翘          	character	          	              	turn upward               	                                                	'javelin thrower', 'feathers'
 1775	塌          	character	          	              	fall down                 	                                                	'soil', 'sun', 'wings'
 1776	翰          	character	          	              	writing brush             	                                                	'mist', 'umbrella', 'wings'
     	翟          	primitive	          	              	headdress                 	                                                	'feathers', 'turkey'
 1777	耀          	character	          	              	show off                  	                                                	'ray', 'headdress'
 1778	戳          	character	          	              	jab                       	                                                	'headdress', 'fiesta'
     	囧因        	primitive	          	              	dog kennel                	                                                	'pent in', 'St. Bernard dog'
 1779	咽          	character	          	              	throat                    	                                                	'mouth', 'dog kennel'
 1780	姻          	character	          	              	in-law                    	                                                	'woman', 'dog kennel'
 1781	墙          	character	Advanced  	Elementary (1)	wall                      	                                                	'soil', 'animal horns', 'return'
 1782	旷          	character	          	              	expansive                 	                                                	'sun', 'cave'
 1783	矿          	character	          	              	mine                      	                                                	'stone', 'cave'
 1784	庆          	character	Advanced  	              	celebrate                 	                                                	'cave', 'St. Bernard dog'
 1785	嘛          	character	          	              	(pause marker)            	                                                	'mouth', 'hemp'
 1786	磨          	character	          	              	grind                     	                                                	'hemp', 'stone'
 1787	脏          	character	Medium    	              	dirty                     	                                                	'flesh', 'hamlet'
 1788	赃          	character	          	              	stolen goods              	                                                	'shellfish', 'hamlet'
 1789	桩          	character	          	              	stake                     	                                                	'tree', 'hamlet'
 1790	忠          	character	          	              	loyal                     	                                                	'middle', 'heart'
 1791	恕          	character	          	              	pardon                    	                                                	'be like', 'heart'
 1792	惑          	character	          	              	be bewildered             	                                                	'or', 'heart'
 1793	愈          	character	          	              	more and more             	                                                	'slaughterhouse', 'heart'
 1794	惠          	character	          	              	favor                     	                                                	'one', 'day', 'insect', 'heart'
 1795	忌          	character	          	              	shun                      	                                                	'snake', 'heart'
 1796	患          	character	          	              	troubles                  	                                                	'shish kebab', 'heart'
 1797	惹          	character	          	              	provoke                   	                                                	'Disneyland', 'heart'
 1798	恒          	character	          	              	permanent                 	                                                	'state of mind', 'sunrise, sunset'
 1799	悟          	character	          	              	realize                   	                                                	'state of mind', 'I (literary)'
 1800	悼          	character	          	              	mourn                     	                                                	'state of mind', 'eminent'
 1801	惧          	character	          	              	be frightened             	                                                	'state of mind', 'tool'
 1802	慎          	character	          	              	prudent                   	                                                	'state of mind', 'true'
 1803	惰          	character	          	              	indolent                  	                                                	'state of mind', 'left', 'flesh'
 1804	恢          	character	          	              	immense                   	                                                	'state of mind', 'ashes'
 1805	惶          	character	          	              	fearful                   	                                                	'state of mind', 'emperor'
 1806	忆          	character	          	              	recall                    	                                                	'state of mind', 'fishhook'
 1807	悄          	character	          	              	noiseless                 	                                                	'state of mind', 'candle'
 1808	恍          	character	          	              	all of a sudden           	                                                	'state of mind', 'ray'
 1809	恰          	character	          	              	just right                	                                                	'state of mind', 'fit'
 1810	愉          	character	Advanced  	              	overjoyed                 	                                                	'slaughterhouse', 'state of mind'
 1811	怔          	character	          	              	terror-stricken           	                                                	'state of mind', 'correct'
 1812	怖          	character	          	              	be scared of              	                                                	'state of mind', 'cloth'
 1813	慌          	character	          	              	nervous                   	                                                	'state of mind', 'wasteland'
 1814	愣          	character	          	              	dumbfounded               	                                                	'state of mind', 'net', 'compass'
 1815	悦          	character	          	              	delighted                 	                                                	'state of mind', 'devil'
 1816	憎          	character	          	              	loathe                    	                                                	'state of mind', 'increase'
 1817	惟          	character	          	              	thinking                  	                                                	'state of mind', 'turkey'
 1818	悔          	character	          	              	be sorry about            	                                                	'state of mind', 'every'
 1819	慕          	character	          	              	admire                    	                                                	'graveyard', 'valentine'
 1820	添          	character	          	              	augment                   	                                                	'water', 'heavens', 'valentine'
 1821	媳          	character	          	              	daughter-in-law           	                                                	'woman', 'breath'
 1822	熄          	character	          	              	put out                   	                                                	'fire', 'breath'
 1823	泌          	character	          	              	secrete                   	                                                	'water', 'certainly'
 1824	瑟          	character	          	              	Chinese harp              	                                                	'ball', 'certainly'
 1825	蜜          	character	          	              	honey                     	                                                	'house', 'certainly', 'insect'
     	囧我        	primitive	          	Elementary (1)	miser                     	                                                	'I'
 1826	蛾          	character	          	              	moth                      	                                                	'insect', 'miser'
 1827	扒          	character	          	              	pick pockets              	                                                	'fingers', 'eight'
 1828	扣          	character	          	              	button                    	                                                	'fingers', 'mouth'
 1829	拍          	character	Advanced  	              	racquet                   	                                                	'fingers', 'dove'
 1830	啪          	character	          	              	clapping sound            	                                                	'mouth', 'racquet'
 1831	扑          	character	          	              	pounce on                 	                                                	'fingers', 'magic wand'
 1832	拘          	character	          	              	detain                    	                                                	'fingers', 'sentence'
 1833	损          	character	          	              	damage                    	                                                	'fingers', 'employee'
 1834	拓          	character	          	              	pioneer                   	                                                	'fingers', 'rocks'
 1835	扛          	character	          	              	carry over the shoulder   	                                                	'fingers', 'I-beam'
 1836	扎          	character	          	              	prick                     	                                                	'fingers', 'fishhook'
 1837	拇          	character	          	              	thumb                     	                                                	'fingers', 'mother'
 1838	捎          	character	          	              	bring to                  	                                                	'fingers', 'candle'
 1839	抄          	character	Advanced  	              	copy                      	                                                	'fingers', 'few'
 1840	垫          	character	          	              	pad                       	                                                	'clench', 'soil'
 1841	挚          	character	          	              	earnest                   	                                                	'clench', 'hand'
 1842	捏          	character	          	              	pinch                     	                                                	'fingers', 'sun', 'soil'
 1843	拧          	character	          	              	tweak                     	                                                	'fingers', 'calm'
 1844	抹          	character	          	              	smear on                  	                                                	'fingers', 'last'
 1845	摸          	character	Advanced  	              	grope                     	                                                	'fingers', 'graveyard'
 1846	描          	character	Advanced  	              	describe                  	                                                	'fingers', 'tomato seedling'
 1847	挑          	character	Advanced  	              	foment                    	                                                	'fingers', 'portent'
 1848	扰          	character	Advanced  	              	harass                    	                                                	'fingers', 'Frankenpooch'
 1849	搞          	character	Medium    	              	engage in                 	                                                	'fingers', 'Eiffel Tower'
 1850	拴          	character	          	              	tether                    	                                                	'fingers', 'whole'
 1851	拾          	character	          	              	tidy up                   	                                                	'fingers', 'fit'
 1852	搭          	character	          	              	put up                    	                                                	'fingers', 'flower', 'fit'
 1853	掠          	character	          	              	pillage                   	                                                	'fingers', 'capital'
 1854	拭          	character	          	              	wipe away                 	                                                	'fingers', 'style'
 1855	挠          	character	          	              	chafe                     	                                                	'fingers', 'javelin thrower'
 1856	扯          	character	          	              	yank                      	                                                	'fingers', 'footprint'
 1857	撞          	character	          	              	bump into                 	                                                	'juvenile', 'fingers'
 1858	摘          	character	          	              	handpick                  	                                                	'fingers', 'antique'
 1859	拖          	character	          	Elementary (1)	drag                      	                                                	'fingers', 'reclining', 'scorpion'
 1860	扬          	character	          	              	publicize                 	                                                	'fingers', 'piglets'
 1861	搓          	character	          	              	massage                   	                                                	'fingers', 'fall short of'
 1862	捆          	character	          	              	lash together             	                                                	'fingers', 'trapped'
 1863	扩          	character	          	              	enlarge                   	                                                	'fingers', 'cave'
 1864	撼          	character	          	              	joggle                    	                                                	'fingers', 'feel'
 1865	挟          	character	          	              	coerce                    	                                                	'fingers', 'press from both sides'
     	亶          	primitive	          	              	Mr. Hyde                  	                                                	'top hat', 'return', 'daybreak'
 1866	擅          	character	          	              	act without authority     	                                                	'fingers', 'Mr. Hyde'
 1867	颤          	character	          	              	tremble                   	                                                	'Mr. Hyde', 'head'
 1868	戒          	character	          	              	take precautions against  	                                                	'two hands', 'fiesta'
 1869	械          	character	          	              	weapon                    	                                                	'tree', 'take precautions against'
 1870	诫          	character	          	              	warn                      	                                                	'words', 'take precautions against'
 1871	莽          	character	          	              	rude                      	                                                	'flower', 'chihuahua', 'two hands'
     	卉          	primitive	          	              	haystack                  	                                                	'two hands', 'needle'
 1872	奔          	character	          	              	dash                      	                                                	'St. Bernard dog', 'haystack'
     	贲          	primitive	          	              	local-yokel chowder       	                                                	'clam', 'haystack'
 1873	喷          	character	          	              	spurt                     	                                                	'mouth', 'local-yokel chowder'
 1874	愤          	character	          	              	indignation               	                                                	'state of mind', 'local-yokel chowder'
 1875	材          	character	Advanced  	              	stuff                     	                                                	'tree', 'genie'
 1876	荐          	character	          	              	recommend                 	                                                	'flower', 'deposit'
 1877	孕          	character	          	              	pregnant                  	                                                	'only then', 'child'
 1878	扔          	character	Medium    	              	throw away                	                                                	'fingers', 'fist'
 1879	携          	character	          	              	take along                	                                                	'fingers', 'turkey', 'fist'
 1880	圾          	character	          	              	trash                     	                                                	'soil', 'outstretched hands'
 1881	梗          	character	          	              	stalk                     	                                                	'tree', 'even more'
 1882	叹          	character	          	              	sigh                      	                                                	'mouth', 'crotch'
 1883	叉          	character	Advanced  	              	fork                      	                                                	'crotch', 'a drop of'
 1884	权          	character	Advanced  	              	authority                 	                                                	'tree', 'crotch'
 1885	寇          	character	          	              	outlaw                    	                                                	'finish', 'magic wand', 'crotch'
 1886	敲          	character	          	              	knock                     	                                                	'Eiffel Tower', 'magic wand', 'crotch'
 1887	轰          	character	          	              	rumble                    	                                                	'car', 'pair'
 1888	滩          	character	          	              	beach                     	                                                	'water', 'difficult'
 1889	毅          	character	          	              	resolute                  	                                                	'standing up', 'sow', 'missile'
 1890	肢          	character	          	              	limb                      	                                                	'flesh', 'branch'
 1891	妓          	character	          	              	prostitute                	                                                	'woman', 'branch'
 1892	歧          	character	          	              	fork in the road          	                                                	'footprint', 'branch'
 1893	翅          	character	          	              	fins                      	                                                	'branch', 'wings'
 1894	淑          	character	          	              	graceful                  	                                                	'water', 'uncle'
 1895	椒          	character	          	              	spice plant               	                                                	'tree', 'uncle'
 1896	盾          	character	          	              	shield                    	                                                	'drag', 'ten', 'eyeball'
 1897	贩          	character	          	              	peddler                   	                                                	'shells', 'against'
 1898	扳          	character	          	              	tug                       	                                                	'fingers', 'against'
 1899	烁          	character	          	              	luminous                  	                                                	'fire', 'music'
 1900	觅          	character	          	              	try to find               	                                                	'vulture', 'see'
 1901	妥          	character	          	              	appropriate               	                                                	'vulture', 'woman'
     	豸          	primitive	          	              	leopard                   	                                                	'claw', 'sow'
 1902	豹          	character	          	              	leopard                   	                                                	'leopard', 'ladle'
 1903	貌          	character	          	              	mien                      	                                                	'leopard', 'dove', 'human legs'
 1904	睬          	character	          	              	notice                    	                                                	'eyeball', 'pick'
 1905	允          	character	          	              	consent                   	                                                	'elbow', 'human legs'
 1906	宏          	character	          	              	magnificent               	                                                	'house', 'by one’s side', 'elbow'
 1907	垒          	character	          	              	baseball base             	                                                	'elbow', 'soil'
 1908	胎          	character	          	              	fetus                     	                                                	'part of the body', 'platform'
 1909	怠          	character	          	              	negligent                 	                                                	'platform', 'heart'
 1910	怡          	character	          	              	cheerful                  	                                                	'state of mind', 'platform'
 1911	冶          	character	          	              	smelt                     	                                                	'ice', 'platform'
 1912	抬          	character	          	              	elevate                   	                                                	'fingers', 'platform'
 1913	罢          	character	          	              	cease                     	                                                	'net', 'go'
 1914	摆          	character	Advanced  	              	put in order              	                                                	'fingers', 'cease'
 1915	丢          	character	Medium    	              	mislay                    	                                                	'thousand', 'wall'
 1916	致          	character	Advanced  	              	bring about               	                                                	'until', 'taskmaster'
 1917	弃          	character	Advanced  	              	forsake                   	                                                	'infant', 'two hands'
 1918	撤          	character	          	              	remove                    	                                                	'fingers', 'education', 'taskmaster'
 1919	硫          	character	          	              	sulfur                    	                                                	'stone', 'baby Moses'
 1920	琉          	character	          	              	glaze                     	                                                	'jewel', 'baby Moses'
 1921	疏          	character	          	              	sparse                    	                                                	'zoo', 'baby Moses'
 1922	蔬          	character	          	              	veggies                   	                                                	'flower', 'sparse'
 1923	勾          	character	          	              	cross out                 	                                                	'cast'
 1924	沟          	character	          	              	ditch                     	                                                	'water', 'cast'
 1925	钩          	character	          	Elementary (2)	hook                      	                                                	'metal', 'cast'
 1926	崩          	character	          	              	crumble                   	                                                	'mountain', 'companion'
 1927	岩          	character	          	              	rock                      	                                                	'mountain', 'stone'
 1928	峭          	character	          	              	precipitous               	                                                	'mountain', 'candle'
 1929	崎          	character	          	              	rugged                    	                                                	'mountain', 'strange'
 1930	崖          	character	          	Elementary (2)	cliff                     	                                                	'mountain', 'cliff', 'bricks'
 1931	灿          	character	          	              	brilliant                 	                                                	'fire', 'mountain'
 1932	炭          	character	          	              	charcoal                  	                                                	'mountain', 'ashes'
 1933	碳          	character	          	              	carbon                    	                                                	'stone', 'charcoal'
 1934	岂          	character	          	              	(rhetorical question)     	                                                	'mountain', 'snake'
 1935	凯          	character	          	              	triumphant                	                                                	'mountain', 'snake', 'small table'
 1936	峡          	character	          	              	gorge                     	                                                	'mountain', 'press from both sides'
 1937	崔          	character	          	              	Cui                       	'pterodactyl'                                   	'mountain', 'turkey'
 1938	摧          	character	          	              	wreck                     	                                                	'finger', 'pterodactyl'
     	屰          	primitive	          	              	mountain goat             	                                                	'animal horns', 'mountain'
 1939	逆          	character	          	              	go against                	                                                	'mountain goat', 'road'
 1940	溯          	character	          	              	go upstream               	                                                	'water', 'mountain goat', 'moon'
 1941	塑          	character	          	              	plastic                   	                                                	'mountain goat', 'moon', 'soil'
 1942	盼          	character	Advanced  	              	await hopefully           	                                                	'eyeball', 'part'
 1943	颁          	character	          	              	promulgate                	                                                	'part', 'head'
 1944	芬          	character	          	              	essence                   	                                                	'flower', 'part'
 1945	扮          	character	Advanced  	              	play the part of          	                                                	'fingers', 'part'
 1946	岔          	character	          	              	diverge                   	                                                	'part', 'mountain'
 1947	颂          	character	          	              	extol                     	                                                	'public', 'head'
 1948	讼          	character	          	              	litigate                  	                                                	'words', 'public'
 1949	滚          	character	Advanced  	              	trundle                   	                                                	'water', 'top hat and scarf', 'public'
 1950	翁          	character	          	              	elderly man               	                                                	'public', 'feathers'
 1951	嗡          	character	          	              	buzzing                   	                                                	'mouth', 'elderly man'
 1952	裕          	character	          	              	abundant                  	                                                	'cloak', 'valley'
 1953	榕          	character	          	              	banyan                    	                                                	'tree', 'contain'
 1954	熔          	character	          	              	fuse                      	                                                	'fire', 'contain'
 1955	裳          	character	          	              	raiment                   	                                                	'outhouse', 'clothing'
 1956	掌          	character	Advanced  	              	palm of the hand          	                                                	'outhouse', 'hand'
 1957	撑          	character	          	              	prop up                   	                                                	'fingers', 'palm of the hand'
 1958	膛          	character	          	              	chest                     	                                                	'flesh', 'main room'
 1959	颇          	character	          	              	quite                     	                                                	'covering', 'head'
 1960	坡          	character	          	              	slope                     	                                                	'soil', 'covering'
 1961	披          	character	          	              	drape over the shoulders  	                                                	'fingers', 'covering'
 1962	菠          	character	          	              	spinach                   	                                                	'flower', 'waves'
 1963	歼          	character	          	              	annihilate                	                                                	'bones', 'thousand'
 1964	殖          	character	          	              	breed                     	                                                	'bones', 'straight'
 1965	殊          	character	          	              	dissimilar                	                                                	'bones', 'vermilion'
 1966	残          	character	          	              	incomplete                	                                                	'bones', 'float'
 1967	咧          	character	          	              	grin                      	                                                	'mouth', 'line up'
 1968	裂          	character	          	              	crack                     	                                                	'line up', 'clothing'
 1969	毙          	character	          	              	die a violent death       	                                                	'compare', 'death'
 1970	耿          	character	          	              	dedicated                 	                                                	'ear', 'fire'
 1971	辑          	character	          	              	edit                      	                                                	'car', 'mouth', 'ear'
 1972	耻          	character	          	              	shame                     	                                                	'ear', 'footprint'
 1973	摄          	character	          	              	take a photo              	                                                	'fingers', 'ear', 'pair'
 1974	聪          	character	Advanced  	              	smart                     	                                                	'ear', 'general'
 1975	娶          	character	          	              	take a wife               	                                                	'take', 'woman'
 1976	蔓          	character	          	              	creeping vine             	                                                	'flower', 'mandala'
 1977	肤          	character	Advanced  	              	skin                      	                                                	'flesh', 'husband'
 1978	扶          	character	          	              	lend a hand               	                                                	'fingers', 'husband'
 1979	潜          	character	          	              	submerge                  	                                                	'water', 'replace'
 1980	卧          	character	          	              	for sleeping              	                                                	'feudal official', 'magic wand'
     	爿          	primitive	          	              	bunk beds                 	                                                	
 1981	藏          	character	          	              	hide                      	                                                	'flower', 'bunk beds', 'parade', 'feudal official'
 1982	熙          	character	          	              	splendid                  	                                                	'underling', 'mouth', 'snakeskin', 'cooking fire'
 1983	勋          	character	          	              	merit                     	                                                	'employee', 'muscle'
 1984	劣          	character	          	              	inferior                  	                                                	'few', 'muscle'
 1985	募          	character	          	              	recruit                   	                                                	'graveyard', 'muscle'
 1986	劝          	character	Advanced  	              	advise                    	                                                	'crotch', 'muscle'
 1987	劫          	character	          	              	plunder                   	                                                	'go', 'muscle'
 1988	抛          	character	          	              	toss                      	                                                	'fingers', 'baseball', 'muscle'
 1989	胁          	character	          	              	threaten                  	                                                	'flesh', 'sweat'
 1990	怒          	character	          	              	anger                     	                                                	'slave', 'heart'
 1991	茄          	character	          	              	eggplant                  	                                                	'flower', 'add'
 1992	彻          	character	          	              	thorough                  	                                                	'queue', 'cut'
 1993	征          	character	          	              	solicit                   	                                                	'queue', 'correct'
 1994	惩          	character	          	              	chasten                   	                                                	'solicit', 'heart'
 1995	徒          	character	          	              	follower                  	                                                	'queue', 'walk'
 1996	徊          	character	          	              	undecided                 	                                                	'queue', 'return'
 1997	役          	character	          	              	service                   	                                                	'queue', 'missile'
